brand,model,screen_size,color,harddisk,cpu,ram,os,special_features,graphics,graphics_coprocessor,cpu_speed,rating,price,cpu_brand,cpu_type,cpu_speed_ghz,ram_gb,storage_size_gb,storage_type,screen_size_inches,price_per_gb_ram,storage_efficiency,performance_tier
Dell,Xps 9320 Laptop,13.4 Inches,Silver,1000 Gb,Core i7,16 Gb,Windows 11 Pro,Unknown,Integrated,Intel Integrated Graphics,Unknown,5.0,1304.99,Other,i7,0.0,16.0,1000,Unknown,13.4,76.76411764705882,1000.0,High-End
Lenovo,Thinkpad X1 Yoga Gen 7,14 Inches,Black,256 Gb,Core i5,16 Gb,Windows 11,Information Not Available,Iris Xe Graphics,Intel Iris Xe Graphics,Unknown,4.2,1339.24,Other,i5,0.0,16.0,256,Unknown,14.0,78.77882352941177,256.0,Mid-Range
Dell,Latitude 5520,15.6 Inches,Black,4 Tb,Core i7,64 Gb,Windows 11 Pro,Unknown,Integrated,Intel Iris Xe Graphics,3 Ghz,4.2,2622.99,Other,i7,0.0,64.0,4,Unknown,15.6,40.353692307692306,4.0,High-End
Acer,Latitude 5000,14 Inches,Black,256 Gb,Core i5 Family,16 Gb,Windows 10 Pro,Anti-Glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,Unknown,4.2,925.0,Other,i5,0.0,16.0,256,Unknown,14.0,54.411764705882355,256.0,Mid-Range
Lenovo,Touch,14 Inches,Onyx Black,512 Gb,Ryzen 5 3500U,8 Gb,Windows 10 Home,Unknown,Integrated,Amd Radeon Vega 8,Unknown,3.6,699.0,Other,Ryzen 5,0.0,8.0,512,Unknown,14.0,77.66666666666667,512.0,Budget
Dell,Latitude 5530 Laptop,15.6 Inches,Black,1000 Gb,Core i7,64 Gb,Windows 11 Pro,Unknown,Integrated,Intel Integrated Graphics,Unknown,4.2,1718.99,Other,i7,0.0,64.0,1000,Unknown,15.6,26.446,1000.0,High-End
Lenovo,Lenovo Thinkpad,15.6 Inches,Black,512 Gb,Core i7,16 Gb,Windows 10 Pro,Backlit Keyboard,Integrated,Nvidia Quadro T1200,2.3 Ghz,5.0,1799.99,Other,i7,0.0,16.0,512,Unknown,15.6,105.88176470588235,512.0,High-End
Dell,Latitude 3420 Laptop,14 Inches,Black,256 Gb,Core i3,16 Gb,Windows 11 Pro,Wifi & Bluetooth,Integrated,Unknown,Unknown,4.2,627.99,Other,i3,0.0,16.0,256,Unknown,14.0,36.940588235294115,256.0,Mid-Range
Gigabyte,G5 Gd-51Us123Sh,15.6 Inches,Black,512 Gb,Intel Mobile CPU,16 Gb,Windows 10 Home,Anti-Glare,Dedicated,Unknown,Unknown,3.6,698.25,Intel,Other,0.0,16.0,512,Unknown,15.6,41.0735294117647,512.0,Mid-Range
Dell,5401,14 Inches,Black,256 Gb,Core i7 Family,16 Gb,Windows 10 Pro,Fingerprint Reader,Integrated,Unknown,Unknown,4.2,1185.77,Other,i7,0.0,16.0,256,Unknown,14.0,69.75117647058823,256.0,High-End
Lenovo,Legion 7,15.6 Inches,Black,512 Gb,Core i7,16 Gb,Windows 10 Home,Unknown,Dedicated,Nvidia Geforce Rtx 2070 Max-Q,2.6 Ghz,4.2,2499.0,Other,i7,0.0,16.0,512,Unknown,15.6,147.0,512.0,High-End
Asus,Asus X551Ca-Hcl1201L,15.6 Inches,Black,500 Gb,Celeron,4 Gb,Windows 8,Unknown,Integrated,Intel Hd Graphics,Unknown,4.3,380.09,Other,Celeron,0.0,4.0,500,Unknown,15.6,76.018,500.0,Entry-Level
Dell,Latitude 7320 2-In-1,13.3 Inches,Black,256 Gb,Core i5,8 Gb,Windows 10 Pro,Wifi & Bluetooth,Integrated,Unknown,Unknown,4.2,783.16,Other,i5,0.0,8.0,256,Unknown,13.3,87.01777777777778,256.0,Budget
Dell,Latitude Rugged 5424 Laptop,14 Inches,Black,256 Gb,Core i5,16 Gb,Windows 10 Home,Wifi & Bluetooth,Integrated,Unknown,Unknown,4.2,1299.95,Other,i5,0.0,16.0,256,Unknown,14.0,76.46764705882353,256.0,Mid-Range
Dell,Latitude 7000,14 Inches,Carbon Black,512 Gb,Core i7,16 Gb,Windows 10 Pro,Anti-Glare Screen,Iris Xe Graphics,Unknown,Unknown,4.2,1985.86,Other,i7,0.0,16.0,512,Unknown,14.0,116.81529411764706,512.0,High-End
Lg,17Zt90P-G.Ax33U1,17 Inches,Black,256 Gb,Core i3,8 Gb,Windows 10 Home,Fingerprint,Integrated,Unknown,Unknown,4.2,1099.0,Other,i3,0.0,8.0,256,Unknown,17.0,122.11111111111111,256.0,Budget
Dell,Latitude 5320 Laptop,13.3 Inches,Black,256 Gb,Core i7,16 Gb,Windows 11 Pro,Wifi & Bluetooth,Integrated,Unknown,Unknown,4.2,807.99,Other,i7,0.0,16.0,256,Unknown,13.3,47.52882352941177,256.0,High-End
Dell,Latitude 9000,14 Inches,Graphite,256 Gb,Core i5,16 Gb,Windows 10 Pro,Anti-Glare Screen,Iris Xe Graphics,Unknown,Unknown,4.2,1050.66,Other,i5,0.0,16.0,256,Unknown,14.0,61.803529411764714,256.0,Mid-Range
Toughbook,Cf-20 Mk2,10.1 Inches,Black,256 Gb,Intel Core i5,8 Gb,Windows 10 Pro,Support Stylus,Integrated,Intel Hd Graphics 615,Unknown,4.2,508.74,Intel,i5,0.0,8.0,256,Unknown,10.1,56.52666666666667,256.0,Budget
Dell,Latitude 7440 Laptop,14 Inches,Black,512 Gb,Core i5,32 Gb,Windows 11 Pro,Unknown,Integrated,Intel Integrated Graphics,Unknown,4.2,1238.73,Other,i5,0.0,32.0,512,Unknown,14.0,37.53727272727273,512.0,Mid-Range
Dell,Xps 9520 Laptop,15.6 Inches,Platinum Silver,1000 Gb,Core i7,32 Gb,Windows 11 Home,Unknown,Dedicated,Nvidia Geforce Rtx 3050,Unknown,5.0,1680.99,Other,i7,0.0,32.0,1000,Unknown,15.6,50.93909090909091,1000.0,High-End
Dell,Inspiron 5620 Laptop,16 Inches,"Gray, Platinum Silver",1000 Gb,Core i7,16 Gb,Windows 11 Home,Unknown,Integrated,Intel Integrated Graphics,Unknown,4.2,931.99,Other,i7,0.0,16.0,1000,Unknown,16.0,54.822941176470586,1000.0,High-End
Dell,Dell Inspiron 16 5625,16 Inches,Silver,1000 Gb,AMD Ryzen 7,64 Gb,Windows 11 Pro,Unknown,Integrated,Amd Radeon Graphics,Unknown,4.2,1006.99,AMD,Ryzen 7,0.0,64.0,1000,Unknown,16.0,15.492153846153846,1000.0,High-End
Dell,Inspiron 7415 2-In-1,14 Inches,Grey,512 Gb,AMD Ryzen 7,8 Gb,Windows 11 Home,Wifi & Bluetooth,Amd Integrated Graphics,Unknown,Unknown,4.2,633.99,AMD,Ryzen 7,0.0,8.0,512,Unknown,14.0,70.44333333333333,512.0,Mid-Range
Dell,Precision 7760 Laptop,17.3 Inches,Silver,512 Gb,Core i7,32 Gb,Windows 10 Pro,Wifi & Bluetooth,Nvidia Rtx A4000,Unknown,Unknown,4.2,2891.99,Other,i7,0.0,32.0,512,Unknown,17.3,87.6360606060606,512.0,High-End
Dell,Dell Latitude 7320,13 Inches,Black,256 Gb,Core i7,16 Gb,Windows 11,Unknown,Integrated,Intel Iris Xe Graphics,Unknown,4.2,749.99,Other,i7,0.0,16.0,256,Unknown,13.0,44.11705882352941,256.0,High-End
Dell,Precision,15.6 Inches,Black,256 Gb,Core i7 Family,8 Gb,Windows 10 Home 64,Backlit Keyboard,Dedicated,Unknown,Unknown,4.2,1299.81,Other,i7,0.0,8.0,256,Unknown,15.6,144.42333333333332,256.0,Mid-Range
Dell,Latitude,14 Inches,Silver,1 Tb,Core i5 Family,16 Gb,Windows 11 Pro,Unknown,Integrated,Intel Iris Xe Graphics,Unknown,4.2,834.99,Other,i5,0.0,16.0,1,Unknown,14.0,49.11705882352941,1.0,Mid-Range
Dell,Latitude 7320 Laptop,13.3 Inches,Black,512 Gb,Core i7,16 Gb,Windows 11 Pro,Wifi & Bluetooth,Integrated,Unknown,Unknown,4.2,781.99,Other,i7,0.0,16.0,512,Unknown,13.3,45.99941176470588,512.0,High-End
Lenovo,Thinkpad,14 Inches,Black,256 Gb,Core i5,8 Gb,Windows 10 Pro,Dolby,Integrated,Unknown,Unknown,4.8,1999.0,Other,i5,0.0,8.0,256,Unknown,14.0,222.11111111111111,256.0,Budget
Dell,Latitude 7320 Laptop,13.3 Inches,Black,512 Gb,Core i5,16 Gb,Windows 10 Pro,Wifi & Bluetooth,Integrated,Unknown,Unknown,4.2,708.99,Other,i5,0.0,16.0,512,Unknown,13.3,41.70529411764706,512.0,Mid-Range
Hp,15-Eg0070Wm,15.6 Inches,Lunar Gold,512 Gb,Core i7 Family,16 Gb,Windows 10 Pro,Backlit Keyboard,Integrated,Unknown,Unknown,4.2,979.0,Other,i7,0.0,16.0,512,Unknown,15.6,57.588235294117645,512.0,High-End
Dell,Dell Latitude,14.1 Inches,Black,512 Gb,Core i7,8 Gb,Windows 10 Pro,Unknown,Integrated,Intel Uhd Graphics 620,1.9 Ghz,4.0,389.0,Other,i7,0.0,8.0,512,Unknown,14.1,43.22222222222222,512.0,Mid-Range
Dell,Dell Latitude 7000 E7470,14 Inches,Black,256 Gb,Core i7,16 Gb,Windows 10 Pro,Anti-Glare,Integrated,Unknown,Unknown,2.8,524.0,Other,i7,0.0,16.0,256,Unknown,14.0,30.823529411764707,256.0,High-End
Lenovo,Lenovo Thinkpad,15.6 Inches,Black,256 Gb,Core i7-4700MQ,16 Gb,Windows 10 Pro,"Backlit Keyboard,Fingerprint Reader",Dedicated,Nvidia Quadro K1100M,Unknown,2.5,422.0,Other,i7,0.0,16.0,256,Unknown,15.6,24.823529411764707,256.0,High-End
Dell,Vostro,14 Inches,Black,2 Tb,Core i5,64 Gb,Windows 11 Pro,Anti-Glare,Integrated,Intel Iris Xe Graphics,Unknown,3.0,1381.99,Other,i5,0.0,64.0,2,Unknown,14.0,21.261384615384614,2.0,Mid-Range
Hp,Hp Spectre,13.3 Inches,Dark Ash,1 Tb,Core i7-10510U,16 Gb,Windows 10 Home,Fingerprint Reader,Integrated,Unknown,Unknown,4.7,2499.0,Other,i7,0.0,16.0,1,Unknown,13.3,147.0,1.0,High-End
Hp,Elite Dragonfly,13.3 Inches,Blue,512 Gb,Intel Core i5,16 Gb,Windows 10 Pro,Unknown,Integrated,Intel Uhd Graphics 620,1.6 Ghz,5.0,2299.0,Intel,i5,0.0,16.0,512,Unknown,13.3,135.23529411764707,512.0,Mid-Range
Lenovo,Lenovo Thinkpad,14 Inches,Black,512 Gb,Core i7,16 Gb,Windows 10 Pro,Spill-Resistant,Integrated,Unknown,3 Ghz,4.2,1102.77,Other,i7,0.0,16.0,512,Unknown,14.0,64.86882352941177,512.0,High-End
Dell,Dell Inspiron 16 5625,16 Inches,Silver,2000 Gb,AMD Ryzen 7,32 Gb,Windows 11 Pro,Unknown,Integrated,Amd Radeon Graphics,Unknown,4.2,989.99,AMD,Ryzen 7,0.0,32.0,2000,Unknown,16.0,29.99969696969697,2000.0,High-End
Dell,Precision 7770,17 Inches,Black,2 Tb,Intel Core i7,64 Gb,Windows 11 Pro,Anti-Glare,Dedicated,Nvidia Geforce Rtx A4500,Unknown,4.2,3378.36,Intel,i7,0.0,64.0,2,Unknown,17.0,51.97476923076923,2.0,High-End
Tocosy,Laptop T12,11.6 Inches,White,64 Gb,Atom Z8350,4 Gb,Windows 10,Unknown,Integrated,Intel,Unknown,5.0,229.0,Other,Other,0.0,4.0,64,Unknown,11.6,45.8,64.0,Entry-Level
Lenovo,Thinkpad T440P,14 Inches,Black,500 Gb,Core i5,8 Gb,Windows 7,Unknown,Integrated,Integrated,Unknown,3.4,399.0,Other,i5,0.0,8.0,500,Unknown,14.0,44.333333333333336,500.0,Budget
Dell,Alienware X17 R2 Laptop,17.3 Inches,Lunar Light,1000 Gb,Core i9,32 Gb,Windows 11 Pro,Unknown,Dedicated,Nvidia Geforce Rtx 3080 Ti,Unknown,4.2,2799.95,Other,i9,0.0,32.0,1000,Unknown,17.3,84.8469696969697,1000.0,High-End
Dell,Xps 9520 Laptop,15.6 Inches,Platinum Silver,2000 Gb,Core i7,16 Gb,Windows 11 Pro,Unknown,Dedicated,Nvidia Geforce Rtx 3050 Ti,Unknown,3.3,1752.99,Other,i7,0.0,16.0,2000,Unknown,15.6,103.11705882352942,2000.0,High-End
Dell,Xps,17 Inches,Platinum Silver,512 Gb,Core i7 Family,32 Gb,Windows 10,"Anti-Glare,Backlit Keyboard,Fingerprint Reader",Geforce Gtx 1650 Ti,Unknown,Unknown,4.2,2599.0,Other,i7,0.0,32.0,512,Unknown,17.0,78.75757575757575,512.0,High-End
Dell,Precision 3570 Laptop,15.6 Inches,Black,512 Gb,Core i7,16 Gb,Windows 11 Pro,Unknown,Integrated,Intel Integrated Graphics,Unknown,4.2,1005.99,Other,i7,0.0,16.0,512,Unknown,15.6,59.17588235294118,512.0,High-End
Dell,Latitude 5431 Laptop,14 Inches,Black,512 Gb,Core i5,16 Gb,Windows 11 Pro,Unknown,Integrated,Intel Integrated Graphics,Unknown,4.2,959.99,Other,i5,0.0,16.0,512,Unknown,14.0,56.47,512.0,Mid-Range
Msi,Ws66 10Tmt-207,15.6 Inches,Space Gray,512 Gb,Core i9,64 Gb,Windows 10 Pro,Unknown,Dedicated,Nvidia Quadro Rtx 5000,2.4 Ghz,4.7,7399.0,Other,i9,0.0,64.0,512,Unknown,15.6,113.83076923076923,512.0,High-End
Dell,Xps,15.6 Inches,Silver,2 Tb,Core i9,16 Gb,Windows 10 Pro,Unknown,"Integrated, Dedicated",Intel,Unknown,4.2,2940.99,Other,i9,0.0,16.0,2,Unknown,15.6,172.99941176470588,2.0,High-End
Hp,Pavilion,15 Inches,Black,1 Tb,Core i7,32 Gb,Windows 11 Pro,"Backlit Keyboard,Numeric Keypad",Integrated,Unknown,Unknown,5.0,1299.0,Other,i7,0.0,32.0,1,Unknown,15.0,39.36363636363637,1.0,High-End
Dell,Dell Latitude,15.6 Inches,Black,512 Gb,Core i5,8 Gb,Windows 10 Pro,Unknown,Integrated,Intel Uhd Graphics 620,1.6 Ghz,5.0,210.0,Other,i5,0.0,8.0,512,Unknown,15.6,23.333333333333332,512.0,Budget
Hp,Zbook Fury 15 G8,15.6 Inches,Black,1 Tb,Core i9,64 Gb,Windows 10 Pro,"Anti-Glare Screen, Miracast Technology","Rtx A5000,Uhd Graphics",Nvidia Intel Rtx A5000 Uhd Graphics,Unknown,1.0,4999.0,Other,i9,0.0,64.0,1,Unknown,15.6,76.9076923076923,1.0,High-End
Dell,Xps 13,13.3 Inches,Silver,256 Gb,Core i7,8 Gb,Windows 8,Unknown,Dedicated,Intel Hd Graphics 5500,Unknown,3.4,999.0,Other,i7,0.0,8.0,256,Unknown,13.3,111.0,256.0,Mid-Range
Dell,Xps,13.3 Inches,Silver,256 Gb,Core i5,8 Gb,Windows 10,"Backlit Keyboard,Fingerprint Reader",Integrated,Unknown,Unknown,3.6,899.81,Other,i5,0.0,8.0,256,Unknown,13.3,99.97888888888889,256.0,Budget
Lenovo,Thinkpad,15.6 Inches,Silver,512 Gb,Core i7 Family,16 Gb,Windows 11 Pro,Backlit Keyboard,Integrated,Unknown,Unknown,4.2,1047.99,Other,i7,0.0,16.0,512,Unknown,15.6,61.646470588235296,512.0,High-End
Asus,Vivobook S13,13.3 Inches,Indie Black,512 Gb,Core i5-1035G1,Unknown,Windows 10 Home,"Bezel,Fingerprint Reader",Integrated,Intel Uhd Graphics,Unknown,4.3,1299.0,Other,i5,0.0,0.0,512,Unknown,13.3,1299.0,512.0,Entry-Level
Dell,Xps 9520 Laptop,15.6 Inches,Platinum Silver,4000 Gb,Core i7,64 Gb,Windows 11 Home,Unknown,Integrated,Nvidia Geforce Rtx 3050 Ti,Unknown,4.2,3116.99,Other,i7,0.0,64.0,4000,Unknown,15.6,47.95369230769231,4000.0,High-End
Dell,Latitude 5520 Laptop,15.6 Inches,Black,256 Gb,Core i5,16 Gb,Windows 10 Pro,Wifi & Bluetooth,Integrated,Unknown,Unknown,4.2,877.99,Other,i5,0.0,16.0,256,Unknown,15.6,51.646470588235296,256.0,Mid-Range
Dell,Latitude 7320 Laptop,13.3 Inches,Black,512 Gb,Core i5,8 Gb,Windows 10 Pro,Wifi & Bluetooth,Integrated,Unknown,Unknown,4.2,1217.99,Other,i5,0.0,8.0,512,Unknown,13.3,135.3322222222222,512.0,Budget
Hp,Hp Pavilion 16,16.1 Inches,Shadow Black,2000 Gb,Core i7,32 Gb,Windows 10 Pro,Anti-Glare,Dedicated,Unknown,Unknown,3.0,2299.0,Other,i7,0.0,32.0,2000,Unknown,16.1,69.66666666666667,2000.0,High-End
Dell,Dell Latitude 7530 Laptop,15 Inches,Black,256 Gb,Intel Core i5,16 Gb,Windows 10 Pro,Unknown,Integrated,Intel Iris Xe Graphics,Unknown,4.2,1359.99,Intel,i5,0.0,16.0,256,Unknown,15.0,79.99941176470588,256.0,Mid-Range
Dell,Precision 5760 Laptop,17 Inches,Silver,1000 Gb,Core i7,32 Gb,Windows 10 Pro,Wifi & Bluetooth,Nvidia Rtx A3000,Unknown,Unknown,4.2,3130.48,Other,i7,0.0,32.0,1000,Unknown,17.0,94.8630303030303,1000.0,High-End
Dell,Xps 9315 Laptop,13.4 Inches,Platinum Silver,512 Gb,Core i7,16 Gb,Windows 11 Home,Unknown,Integrated,Intel Integrated Graphics,Unknown,4.0,1041.99,Other,i7,0.0,16.0,512,Unknown,13.4,61.29352941176471,512.0,High-End
Hp,Hp Omen,15.6 Inches,Black,512 Gb,Ryzen 7 4800H,16 Gb,Windows 10 Home,"Anti-Glare,Backlit Keyboard/Windows",Dedicated,Unknown,2.9 Ghz,4.1,1999.0,Other,Ryzen 7,0.0,16.0,512,Unknown,15.6,117.58823529411765,512.0,High-End
Hp,Sbuy Dragonfly,13.3 Inches,Black,512 Gb,Core i7,16 Gb,Windows 10 Pro,Unknown,Integrated,Intel Uhd Graphics 620,1.9 Ghz,4.2,2499.0,Other,i7,0.0,16.0,512,Unknown,13.3,147.0,512.0,High-End
Lenovo,Thinkbook 14 G4 Aba,14 Inches,Black,512 Gb,Ryzen 7,16 Gb,Windows 11,Anti-Glare Screen,Radeon Graphics,Amd Radeon Graphics,Unknown,4.2,835.99,Other,Ryzen 7,0.0,16.0,512,Unknown,14.0,49.17588235294118,512.0,High-End
Dell,Xps,15.6 Inches,Platinum Silver,1 Tb,Intel Core i9,64 Gb,Windows 10 Home,"Backlit Keyboard,Fingerprint Reader",Dedicated,Unknown,Unknown,3.5,2860.99,Intel,i9,0.0,64.0,1,Unknown,15.6,44.01523076923077,1.0,High-End
Dell,Inspiron 5625 Laptop,16 Inches,"Gray, Platinum Silver",1000 Gb,AMD Ryzen 7,16 Gb,Windows 11 Home,Unknown,Integrated,Amd Integrated Graphics,Unknown,4.2,853.99,AMD,Ryzen 7,0.0,16.0,1000,Unknown,16.0,50.23470588235294,1000.0,High-End
Hp,Elitebook Revolve 810G3,11.6 Inches,Silver,128 Gb,Core i5,8 Gb,Windows 10 Pro 64 Bit-Multi-Language Support English/French/Spanish.,Unknown,Integrated,Integrated Graphics,Unknown,4.2,218.98,Other,i5,0.0,8.0,128,Unknown,11.6,24.33111111111111,128.0,Budget
Dell,Latitude,14 Inches,Silver,2 Tb,Core i5 Family,32 Gb,Windows 11 Pro,Backlit Keyboard,Integrated,Unknown,Unknown,1.0,1328.99,Other,i5,0.0,32.0,2,Unknown,14.0,40.27242424242424,2.0,Mid-Range
Lenovo,Thinkpad T15P Gen 2,15.6 Inches,Black,1 Tb,Core i7,16 Gb,Windows 11 Pro,Anti-Glare Screen,Geforce Gtx 1650,Unknown,Unknown,4.2,2229.07,Other,i7,0.0,16.0,1,Unknown,15.6,131.12176470588236,1.0,High-End
Gigabyte,A5 X1-Cus2130Sb,15.6 Inches,Black,512 Gb,AMD Ryzen 9 5900X,16 Gb,Windows 11 Home,"Anti-Glare,Thin Bezel",Dedicated,Unknown,Unknown,4.0,1749.0,AMD,Ryzen 9,0.0,16.0,512,Unknown,15.6,102.88235294117646,512.0,High-End
Dell,Latitude 7310 Laptop,13 Inches,Black,512 Gb,Core i5,16 Gb,Windows 10 Pro,Wifi & Bluetooth,Integrated,Unknown,Unknown,4.2,764.99,Other,i5,0.0,16.0,512,Unknown,13.0,44.99941176470588,512.0,Mid-Range
Dell,Dell Precision 7760 Laptop,17 Inches,Silver,1 Tb,Intel Core i7,32 Gb,Windows 10 Pro,Unknown,Dedicated,Nvidia Rtx A3000 16Gb Gddr6,Unknown,4.2,1778.99,Intel,i7,0.0,32.0,1,Unknown,17.0,53.90878787878788,1.0,High-End
Lenovo,W530,15.6 Inches,Black,500 Gb,Core i7-3720QM,Unknown,Windows 7 Professional,Unknown,"Integrated, Dedicated",Intel Hd Graphics 4000,2.7 Ghz,3.7,377.3,Other,i7,0.0,0.0,500,Unknown,15.6,377.3,500.0,Budget
